data_origin,synthetic_scenario,case_id,project_id,as_of_date,state,district,region,urban_rural,department,project_type,acquisition_method,project_priority,land_use_category,project_size_area,parcel_count,affected_landowner_count,ownership_complexity_score,disputed_ownership_flag,unresolved_record_count,objection_count,unresolved_objection_count,required_document_count,missing_document_count,invalid_document_count,document_verification_pending_count,document_completeness_ratio,approval_stage_count,pending_approval_count,interdepartment_dependency_count,blocked_dependency_count,assessed_compensation_amount,approved_compensation_amount,pending_compensation_amount,compensation_approval_pending_flag,payment_processing_days,open_legal_case_count,legal_dispute_flag,stay_order_flag,hearing_count,current_stage,days_in_current_stage,overdue_days,average_stage_duration_days,historical_department_delay_rate,historical_district_delay_rate,department_workload_index,milestone_slippage_count,days_since_last_update,acquisition_complexity_score,prediction_horizon_days,significant_delay,actual_delay_days,risk_category,missing_optional_payment_history,missing_optional_hearing_history
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000001,SYN-PROJECT-00001,2022-11-14,Westland,Kite,WEST,RURAL,TRANSPORT,ROAD,DIRECT_PURCHASE,HIGH,AGRICULTURAL,786.41,314,199,0.98,1,77,42,27,207,23,8,20,0.8618,5,2,2,0,199986956.61,0.0,0.0,1,54,2,1,0,11,NOTICE,171,117,81,0.2428,0.2893,0.2936,5,30,0.7142,90,1,102,CRITICAL,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000002,SYN-PROJECT-00001,2024-04-27,Eastland,Dawn,EAST,URBAN,IRRIGATION,IRRIGATION,CONSENT_BASED,LOW,MIXED,32.58,6,12,0.57,1,3,0,0,9,2,0,1,0.7778,4,1,4,3,10691487.06,0.0,0.0,1,46,0,0,0,0,PAYMENT,63,0,109,0.2657,0.1558,0.5182,1,18,0.3404,90,0,0,LOW,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000003,SYN-PROJECT-00001,2023-12-14,Eastland,Frost,EAST,RURAL,REVENUE,IRRIGATION,STATUTORY,MEDIUM,AGRICULTURAL,79.154,45,69,0.98,1,29,12,7,39,0,0,0,1.0,4,1,3,2,18168723.28,16241605.2,6580309.43,0,37,0,0,0,2,OBJECTION_REVIEW,129,55,58,0.3479,0.3846,0.1252,3,18,0.5965,90,0,8,HIGH,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000004,SYN-PROJECT-00002,2024-11-19,Northland,Aster,NORTH,URBAN,REVENUE,URBAN_EXPANSION,DIRECT_PURCHASE,HIGH,AGRICULTURAL,40.443,10,10,0.5302,0,3,0,0,11,0,2,1,0.8727,5,2,2,0,7877307.33,6647536.12,2482966.22,0,18,0,0,0,0,NOTICE,108,19,87,0.2792,0.1653,0.2846,1,18,0.2197,90,0,13,LOW,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000005,SYN-PROJECT-00002,2023-08-07,Southland,Harbor,SOUTH,URBAN,REVENUE,POWER_TRANSMISSION,DIRECT_PURCHASE,MEDIUM,MIXED,424.986,241,212,0.98,0,83,57,41,168,20,6,17,0.856,4,2,0,0,218582511.31,0.0,0.0,1,37,0,0,0,14,PAYMENT,316,249,71,0.2902,0.2514,0.5116,9,40,0.7162,90,1,141,CRITICAL,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000006,SYN-PROJECT-00002,2021-10-04,Westland,Lumen,WEST,URBAN,URBAN,IRRIGATION,STATUTORY,MEDIUM,RESIDENTIAL,45.478,12,17,0.9323,1,5,14,10,13,0,0,0,1.0,4,0,1,1,15484735.35,15267215.94,6520384.8,0,36,0,0,0,5,PAYMENT,75,13,99,0.418,0.4233,0.5583,2,19,0.5028,90,0,0,LOW,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000007,SYN-PROJECT-00003,2023-02-21,Southland,Harbor,SOUTH,URBAN,PUBLIC_WORKS,INDUSTRIAL_CORRIDOR,DIRECT_PURCHASE,MEDIUM,AGRICULTURAL,69.059,22,45,0.98,0,17,3,2,23,3,1,3,0.8391,4,0,2,0,16855779.08,14646176.86,3676875.39,0,46,0,0,0,0,AWARD,40,0,122,0.4361,0.2275,0.4397,0,26,0.4227,90,0,0,LOW,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000008,SYN-PROJECT-00003,2023-12-12,Westland,Kite,WEST,RURAL,TRANSPORT,ROAD,CONSENT_BASED,MEDIUM,FOREST_EDGE,280.914,106,91,0.98,0,35,11,7,76,6,3,6,0.8934,4,0,2,0,90845296.56,0.0,0.0,1,36,0,0,0,4,COMPENSATION,133,74,48,0.3205,0.3211,0.4149,3,22,0.6082,90,1,88,CRITICAL,,
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000009,SYN-PROJECT-00003,2024-05-22,Eastland,Frost,EAST,RURAL,URBAN,RAIL,STATUTORY,CRITICAL,AGRICULTURAL,45.551,19,33,0.98,0,15,5,2,19,1,0,0,0.9474,5,1,4,2,7848315.34,6988711.71,2113623.48,0,47,0,0,0,1,COMPENSATION,133,51,105,0.3815,0.4037,0.357,3,19,0.463,90,1,63,LOW,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000010,SYN-PROJECT-00004,2024-10-20,Eastland,Dawn,EAST,URBAN,TRANSPORT,RAIL,CONSENT_BASED,MEDIUM,COMMERCIAL,157.868,70,58,0.98,0,21,3,2,51,5,2,5,0.8745,4,0,3,1,179816431.12,171550457.98,108833100.92,0,56,1,1,0,2,PAYMENT,151,65,104,0.3407,0.1983,0.3468,3,20,0.5682,90,1,98,HIGH,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000011,SYN-PROJECT-00004,2023-12-07,Westland,Kite,WEST,RURAL,URBAN,POWER_TRANSMISSION,STATUTORY,MEDIUM,RESIDENTIAL,83.328,12,9,0.5494,0,1,7,3,12,0,0,1,1.0,4,1,2,0,23043593.63,22441464.31,2489339.75,0,43,0,0,0,2,NOTICE,52,0,66,0.3087,0.2665,0.2748,0,16,0.3076,90,0,0,LOW,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000012,SYN-PROJECT-00004,2022-04-19,Southland,Grove,SOUTH,RURAL,URBAN,URBAN_EXPANSION,STATUTORY,LOW,AGRICULTURAL,49.938,34,55,0.98,0,22,0,0,31,4,2,2,0.8258,4,1,2,0,14933986.38,13710172.9,9066591.09,0,55,1,1,0,3,OBJECTION_REVIEW,65,0,86,0.4247,0.2139,0.3962,2,17,0.4212,90,0,0,LOW,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000013,SYN-PROJECT-00005,2024-08-29,Northland,Aster,NORTH,URBAN,REVENUE,IRRIGATION,DIRECT_PURCHASE,MEDIUM,COMMERCIAL,75.093,24,26,0.98,0,11,0,0,21,2,0,1,0.9048,4,1,2,1,81400348.12,73705975.0,26573585.57,0,38,0,0,0,0,SURVEY,81,18,91,0.2521,0.1563,0.5038,2,15,0.4617,90,0,23,LOW,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000014,SYN-PROJECT-00005,2025-10-05,Westland,Lumen,WEST,URBAN,REVENUE,IRRIGATION,MIXED,MEDIUM,COMMERCIAL,196.464,115,127,0.98,0,51,24,12,86,12,5,11,0.8198,4,2,1,1,121934488.15,0.0,0.0,1,50,0,0,0,4,AWARD,192,123,94,0.3745,0.4516,0.3946,5,22,0.7709,90,1,105,CRITICAL,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000015,SYN-PROJECT-00005,2021-07-13,Northland,Cedar,NORTH,RURAL,PUBLIC_WORKS,RAIL,STATUTORY,HIGH,RESIDENTIAL,140.196,68,102,0.98,1,41,39,27,57,5,1,4,0.9,5,3,4,2,81167934.61,67962691.88,34423339.59,0,33,0,0,0,9,COMPENSATION,180,82,89,0.3298,0.4713,0.4615,4,32,0.7483,90,1,195,CRITICAL,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000016,SYN-PROJECT-00006,2024-08-10,Eastland,Elm,EAST,RURAL,TRANSPORT,URBAN_EXPANSION,MIXED,HIGH,FOREST_EDGE,76.372,55,37,0.98,0,15,11,7,40,4,1,5,0.8825,5,1,2,1,12982284.54,11127421.97,5484278.06,0,43,0,0,0,1,NOTICE,57,0,100,0.2419,0.2803,0.3076,1,17,0.6294,90,0,18,LOW,,
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000017,SYN-PROJECT-00006,2025-06-02,Northland,Cedar,NORTH,RURAL,TRANSPORT,INDUSTRIAL_CORRIDOR,STATUTORY,LOW,AGRICULTURAL,52.824,29,41,0.98,1,16,11,6,26,3,0,2,0.8846,4,1,5,2,10785156.82,10432482.05,1602971.45,0,43,0,0,0,2,OBJECTION_REVIEW,148,35,126,0.396,0.4716,0.2982,2,20,0.5803,90,0,4,LOW,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000018,SYN-PROJECT-00006,2023-01-02,Southland,Harbor,SOUTH,URBAN,PUBLIC_WORKS,URBAN_EXPANSION,MIXED,LOW,COMMERCIAL,130.844,67,67,0.98,0,26,18,12,51,6,1,5,0.8686,4,0,2,0,67001967.04,66801645.2,33850938.82,0,66,0,0,0,4,OBJECTION_REVIEW,56,0,106,0.3563,0.2892,0.5678,3,22,0.6594,90,0,0,HIGH,,
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000019,SYN-PROJECT-00007,2021-05-16,Eastland,Frost,EAST,RURAL,REVENUE,RAIL,DIRECT_PURCHASE,MEDIUM,AGRICULTURAL,50.741,57,74,0.98,0,31,11,8,46,4,1,3,0.8978,4,1,3,0,10078527.23,0.0,0.0,1,64,1,1,0,5,PAYMENT,85,0,105,0.3604,0.3536,0.3179,1,5,0.5531,90,1,63,CRITICAL,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000020,SYN-PROJECT-00007,2021-06-05,Southland,Indigo,SOUTH,RURAL,URBAN,URBAN_EXPANSION,STATUTORY,LOW,RESIDENTIAL,217.825,121,98,0.98,0,41,15,8,85,9,3,7,0.8694,4,1,0,0,93722579.76,0.0,0.0,1,38,0,0,0,2,AWARD,173,97,78,0.4203,0.405,0.3535,0,28,0.6598,90,1,166,CRITICAL,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000021,SYN-PROJECT-00007,2021-06-02,Southland,Indigo,SOUTH,RURAL,PUBLIC_WORKS,ROAD,DIRECT_PURCHASE,MEDIUM,AGRICULTURAL,41.014,22,16,0.7062,0,7,5,3,18,2,1,1,0.85,4,2,4,1,4998398.46,5080843.72,1287969.52,0,31,0,0,0,1,PAYMENT,30,0,51,0.4379,0.4302,0.2924,2,17,0.408,90,0,10,LOW,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000022,SYN-PROJECT-00008,2024-09-03,Southland,Harbor,SOUTH,URBAN,TRANSPORT,INDUSTRIAL_CORRIDOR,CONSENT_BASED,HIGH,MIXED,331.933,319,732,0.98,0,288,165,84,289,41,15,38,0.8218,6,2,3,1,74866642.44,61970685.75,34380668.35,0,22,0,0,0,28,COMPENSATION,586,464,135,0.2929,0.2693,0.3834,16,70,0.7774,90,1,285,CRITICAL,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000023,SYN-PROJECT-00008,2024-09-04,Westland,Juniper,WEST,RURAL,REVENUE,RAIL,MIXED,HIGH,AGRICULTURAL,71.862,87,207,0.98,1,81,29,20,83,10,4,10,0.8458,5,0,3,2,14112619.12,0.0,0.0,1,38,0,0,0,7,PAYMENT,190,93,120,0.2889,0.1548,0.3042,2,19,0.817,90,1,91,CRITICAL,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000024,SYN-PROJECT-00008,2023-08-26,Eastland,Frost,EAST,RURAL,IRRIGATION,RAIL,CONSENT_BASED,MEDIUM,AGRICULTURAL,148.233,162,210,0.98,0,82,10,6,125,14,6,12,0.8544,4,1,4,1,33335011.35,32952694.95,19167909.57,0,27,0,0,0,1,OBJECTION_REVIEW,150,65,127,0.2474,0.4376,0.376,3,25,0.6616,90,1,116,CRITICAL,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000025,SYN-PROJECT-00009,2025-05-22,Northland,Cedar,NORTH,RURAL,PUBLIC_WORKS,URBAN_EXPANSION,DIRECT_PURCHASE,MEDIUM,AGRICULTURAL,205.15,67,92,0.98,0,38,2,1,55,7,3,6,0.8345,4,2,3,1,38997266.7,0.0,0.0,1,55,0,0,0,0,PAYMENT,200,111,113,0.3024,0.4578,0.3605,4,16,0.5291,90,1,104,CRITICAL,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000026,SYN-PROJECT-00009,2022-03-11,Southland,Grove,SOUTH,RURAL,TRANSPORT,IRRIGATION,CONSENT_BASED,LOW,AGRICULTURAL,41.003,23,16,0.7695,0,4,2,2,19,1,1,2,0.9105,4,1,2,0,9782064.22,8211891.35,3737729.27,0,27,0,0,0,0,NOTICE,39,0,61,0.3188,0.1712,0.1687,0,13,0.3477,90,0,4,LOW,0,0
SYNTHETIC,CORRELATED_WORKFLOW_SIMULATION,SYN-CASE-000027,SYN-PROJECT-00009,2024-09-26,Westland,Kite,WEST,RURAL,REVENUE,INDUSTRIAL_CORRIDOR,STATUTORY,MEDIUM,AGRICULTURAL,463.629,144,101,0.98,0,38,29,22,98,12,4,8,0.849,4,1,4,1,67653733.5,0.0,0.0,1,64,1,1,0,10,AWARD,271,149,110,0.2602,0.3368,0.4514,5,30,0.7461,90,1,121,CRITICAL,0,0
